Quote,Name of the Actor
"The best preparation for tomorrow is doing your best today.",H. Jackson Brown, Jr.
"If you risk nothing, then you risk everything.",Geena Davis
"Success is not in what you have, but who you are.",Bo Bennett
"Acting is not about being famous, it's about exploring the human soul.",Annette Bening
"The only thing you can do is prepare as best as you can, and then let it go.",Meryl Streep
"You can't be afraid to fail. It's the only way you succeed—you're not gonna succeed all the time, and I know that.",LeBron James
"The harder you work, the luckier you get.",Gary Player
"Every audition is an opportunity to act, regardless of the outcome.",Chadwick Boseman
"You have to be unique, and different, and shine in your own way.",Lady Gaga
"I think the most important thing is to be true to yourself and to be genuine and to be honest.",Emma Watson
"If you're an actor, even a successful one, you're still waiting for the phone to ring.",Kevin Bacon
"You're only given a little spark of madness. You mustn't lose it.",Robin Williams
"I don't dream at night, I dream at day, I dream all day; I'm dreaming for a living.",Steven Spielberg
"The struggles along the way are only meant to shape you for your purpose.",Chadwick Boseman
"I say luck is when an opportunity comes along and you're prepared for it.",Denzel Washington
"You can fail at what you don't want, so you might as well take a chance on doing what you love.",Jim Carrey
"If you have stage fright, it never goes away. But then I wonder: is the key to that magical performance because of the fear?",Stevie Nicks
"I think the reward for conformity is that everyone likes you except yourself.",Rita Mae Brown
"I am not a product of my circumstances. I am a product of my decisions.",Stephen R. Covey
"The most important thing is to enjoy your life—to be happy—it's all that matters.",Audrey Hepburn
"You're only as good as your last performance.",Charlize Theron
"I don't believe in regrets; I believe your future is in your tomorrows.",Catherine O'Hara
"If you're not failing every now and again, it's a sign you're not doing anything very innovative.",Woody Allen
"I think the thing to do is enjoy the ride while you're on it.",Johnny Depp
"You can't put a limit on anything. The more you dream, the farther you get.",Tom Cruise
"I don't want to be a product of my environment. I want my environment to be a product of me.",Jack Nicholson
"The best thing to hold onto in life is each other.",Audrey Hepburn
"I don't believe in pessimism. If something doesn't come up the way you want, forge ahead.",Clint Eastwood
"If you're going to be able to look back on something and laugh about it, you might as well laugh about it now.",Marie Osmond
"You can't connect the dots looking forward; you can only connect them looking backwards.",Steve Jobs
"I think the best role models for women are people who are fruitfully and confidently themselves.",Meryl Streep
"You're never too old to set another goal or to dream a new dream.",C.S. Lewis
"I don't want to be a star, I want to be a legend.",Marilyn Monroe
"The only failure is not to try.",George Clooney
"If you want something, go get it. Period.",Will Smith
"I don't believe in luck. Luck is preparation meeting opportunity.",Oprah Winfrey
"The only way to achieve the impossible is to believe it is possible.",Charles Kingsleigh (Johnny Depp)
"You can't be that kid standing at the top of the waterslide, overthinking it. You have to go down the chute.",Tina Fey
"I think the thing to do is enjoy the ride while you're on it.",Johnny Depp
"You're only given a little spark of madness. You mustn't lose it.",Robin Williams
"The best way to guarantee a loss is to quit.",Morgan Freeman
"You have to be willing to get happy about nothing.",Andy Warhol
"If you want to be successful, you must respect one rule: Never lie to yourself.",Paulo Coelho
"The only thing standing between you and your goal is the story you keep telling yourself.",Jordan Belfort
"You can't let your failures define you. You have to let your failures teach you.",Barack Obama
"The only thing that feels better than winning is winning when nobody thought you could.",Hank Aaron
"If you're not making mistakes, then you're not doing anything.",John Wooden
"The only thing that separates successful people from the ones who aren't is the willingness to work very, very hard.",Helen Gurley Brown
"You miss 100% of the shots you don't take.",Wayne Gretzky 